Solution,Image Quality,CPU Energy,Gender Fitness,Ethnicity Fitness,GPU Energy,Duration,Round
"{'denoising_steps': 77, 'guidance_scale': 12.403066708403113, 'positive_prompt': [204, 1019, 104], 'negative_prompt': [198, 148, 149], 'weight': 4, 'seed': 134}",0.7684,0.00033032,1.0,1.1,0.001970759076606,55.41199100017547,round_10
"{'denoising_steps': 48, 'guidance_scale': 12.237366642974678, 'positive_prompt': [981, 842, 82], 'negative_prompt': [10652, 579, 29], 'weight': 1, 'seed': 413}",0.73913043,0.00020204,0.8,1.0,0.0012126115256432,33.772961258888245,round_10
"{'denoising_steps': 41, 'guidance_scale': 14.587514138817612, 'positive_prompt': [1344, 372, 144], 'negative_prompt': [11609, 44, 69], 'weight': 3, 'seed': 423}",0.72666667,0.00017416,0.8999999999999999,1.0,0.0010305302688653,28.913663148880005,round_10
"{'denoising_steps': 32, 'guidance_scale': 9.08399249187043, 'positive_prompt': [1286, 2045, 116], 'negative_prompt': [1913, 174, 94], 'weight': 1, 'seed': 427}",0.71791667,0.00013295,0.3999999999999999,0.8999999999999999,0.0008042653656339,22.05782401561737,round_10
"{'denoising_steps': 20, 'guidance_scale': 12.200202226752896, 'positive_prompt': [815, 491, 42], 'negative_prompt': [15146, 539, 170], 'weight': 2, 'seed': 477}",0.70944444,8.632e-05,0.7,0.6000000000000001,0.0005066570719911,14.289360761642456,round_10
"{'denoising_steps': 13, 'guidance_scale': 6.592619909596847, 'positive_prompt': [895, 1689, 186], 'negative_prompt': [5783, 976, 96], 'weight': 5, 'seed': 492}",0.685,5.725e-05,0.3,1.0,0.0003326385994437,9.509403944015505,round_10
"{'denoising_steps': 9, 'guidance_scale': 10.587831383509435, 'positive_prompt': [1143, 647, 73], 'negative_prompt': [14362, 239, 35], 'weight': 3, 'seed': 349}",0.61454545,3.941e-05,0.1,0.9,0.0002330106030754,6.580788373947144,round_10
"{'denoising_steps': 3, 'guidance_scale': 17.233292784412505, 'positive_prompt': [1237, 617, 196], 'negative_prompt': [1354, 994, 122], 'weight': 1, 'seed': 442}",0.29333333,1.397e-05,0.1999999999999999,0.6000000000000001,8.147353739929031e-05,2.3195443153381348,round_10
"{'denoising_steps': 27, 'guidance_scale': 14, 'positive_prompt': [1667, 1675, 171], 'negative_prompt': [3641, 544, 34], 'weight': 4, 'seed': 123}",0.78272727,0.00011457,0.1999999999999999,1.0,0.0006785952650973,19.076978087425232,round_7
"{'denoising_steps': 26, 'guidance_scale': 20, 'positive_prompt': [450, 1336, 120], 'negative_prompt': [11185, 527, 132], 'weight': 2, 'seed': 231}",0.56047619,0.00010996,0.8999999999999999,0.5,0.0006523506607693,18.377042174339294,round_7
"{'denoising_steps': 26, 'guidance_scale': 8.242424259581668, 'positive_prompt': [1199, 1469, 43], 'negative_prompt': [5901, 373, 80], 'weight': 5, 'seed': 112}",0.8235,0.0001145,0.8999999999999999,0.6000000000000001,0.0006680928955837,18.78867924213409,round_9
"{'denoising_steps': 25, 'guidance_scale': 6.211309600629738, 'positive_prompt': [1758, 152, 222], 'negative_prompt': [8232, 495, 236], 'weight': 2, 'seed': 397}",0.7985,0.00011091,0.5,0.8999999999999999,0.0006584830267897,18.293685793876648,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1895, 300, 99], 'negative_prompt': [15589, 868, 9], 'weight': 1, 'seed': 268}",0.75173913,8.418e-05,0.1999999999999999,0.5,0.0004905292813113,13.807185173034668,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1931, 1923, 8], 'negative_prompt': [7233, 828, 165], 'weight': 4, 'seed': 238}",0.7475,8.364e-05,0.5,0.8,0.0004911205317856,13.810322403907776,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [950, 420, 201], 'negative_prompt': [7233, 828, 165], 'weight': 4, 'seed': 238}",0.73428571,8.283e-05,0.3999999999999999,0.8,0.0004876126123107,13.782012462615969,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1120, 288, 38], 'negative_prompt': [7233, 828, 165], 'weight': 4, 'seed': 238}",0.72833333,8.252e-05,0.8,1.1,0.0004854735828239,13.603150725364683,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1931, 1923, 8], 'negative_prompt': [7233, 828, 165], 'weight': 4, 'seed': 238}",0.70565217,8.22e-05,,,,,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1895, 300, 99], 'negative_prompt': [15589, 868, 9], 'weight': 1, 'seed': 385}",0.69083333,8.19e-05,0.7,0.8,0.0004850669158286,13.561776757240295,round_9
"{'denoising_steps': 10, 'guidance_scale': 14.035379432966701, 'positive_prompt': [1141, 1449, 74], 'negative_prompt': [12778, 92, 2], 'weight': 0, 'seed': 256}",0.68055556,4.451e-05,0.5,1.0,0.0002601097914247,7.333508849143982,round_9
"{'denoising_steps': 5, 'guidance_scale': 12.316054491238976, 'positive_prompt': [1098, 1306, 29], 'negative_prompt': [4939, 187, 12], 'weight': 3, 'seed': 60}",0.476,2.267e-05,0.1999999999999999,0.7000000000000001,0.0001309985770223,3.743960022926331,round_9
"{'denoising_steps': 41, 'guidance_scale': 15.0752472222783, 'positive_prompt': [1206, 1920, 76], 'negative_prompt': [15127, 22, 241], 'weight': 4, 'seed': 91}",0.76666667,0.00017803,0.8,0.8999999999999999,0.0010413412497385,29.385787844657894,round_8
"{'denoising_steps': 34, 'guidance_scale': 14.649293409358808, 'positive_prompt': [1154, 480, 48], 'negative_prompt': [2330, 232, 219], 'weight': 4, 'seed': 233}",0.72590909,0.00014476,0.0,0.8,0.0008628138846961,24.010716915130615,round_8
"{'denoising_steps': 7, 'guidance_scale': 6.204804227272276, 'positive_prompt': [521, 418, 155], 'negative_prompt': [14055, 961, 197], 'weight': 0, 'seed': 282}",0.6895,3.099e-05,0.1,0.8,0.0001810904226484,5.162208199501038,round_8
"{'denoising_steps': 4, 'guidance_scale': 8.776372826987318, 'positive_prompt': [1126, 1776, 168], 'negative_prompt': [7027, 1018, 201], 'weight': 4, 'seed': 226}",0.50428571,1.827e-05,0.1,0.9000000000000001,0.0001059675847727,3.0228729248046875,round_8
"{'denoising_steps': 41, 'guidance_scale': 10, 'positive_prompt': [1291, 1923, 172], 'negative_prompt': [14936, 850, 59], 'weight': 2, 'seed': 454}",0.7845,0.00017515,0.6000000000000001,0.8999999999999999,0.0010349322168341,29.07929015159607,round_6
"{'denoising_steps': 34, 'guidance_scale': 7, 'positive_prompt': [1164, 300, 142], 'negative_prompt': [2615, 941, 191], 'weight': 3, 'seed': 223}",0.7726087,0.00014375,0.8,0.7,0.0008536831829459,24.038195729255676,round_6
"{'denoising_steps': 26, 'guidance_scale': 11, 'positive_prompt': [1863, 1659, 15], 'negative_prompt': [15639, 382, 209], 'weight': 3, 'seed': 126}",0.73434783,0.00011203,0.3999999999999999,0.8999999999999999,0.0006583537211266,18.644243478775024,round_6
"{'denoising_steps': 25, 'guidance_scale': 12, 'positive_prompt': [579, 857, 7], 'negative_prompt': [7273, 212, 96], 'weight': 4, 'seed': 331}",0.66,0.00010904,0.3,1.0,0.0006429652365928,18.046884536743164,round_6
"{'denoising_steps': 25, 'guidance_scale': 3, 'positive_prompt': [1650, 1555, 57], 'negative_prompt': [14480, 161, 56], 'weight': 4, 'seed': 379}",0.65028571,0.00010595,0.1999999999999999,1.0,0.0006279200856686,17.67957365512848,round_6
"{'denoising_steps': 40, 'guidance_scale': 5, 'positive_prompt': [27, 2014, 70], 'negative_prompt': [13057, 899, 113], 'weight': 3, 'seed': 227}",0.80347826,0.000173,0.8999999999999999,1.0,0.0010155359513168,28.6335039138794,round_1
"{'denoising_steps': 31, 'guidance_scale': 5, 'positive_prompt': [1535, 1159, 185], 'negative_prompt': [4581, 854, 103], 'weight': 5, 'seed': 74}",0.77952381,0.00013412,0.5,0.7999999999999999,0.0007943003576621,22.289851188659668,round_1
"{'denoising_steps': 27, 'guidance_scale': 9, 'positive_prompt': [89, 908, 65], 'negative_prompt': [3259, 691, 169], 'weight': 3, 'seed': 332}",0.69666667,0.00011633,0.8999999999999999,1.3,0.0006888670788715,19.433744311332703,round_1
"{'denoising_steps': 25, 'guidance_scale': 13, 'positive_prompt': [1360, 1440, 120], 'negative_prompt': [15142, 12, 215], 'weight': 5, 'seed': 131}",0.58142857,0.00010564,0.3,0.7000000000000001,0.0006282359192546,17.683093905448914,round_1
"{'denoising_steps': 27, 'guidance_scale': 12, 'positive_prompt': [723, 1145, 179], 'negative_prompt': [9313, 466, 45], 'weight': 0, 'seed': 314}",0.77041667,0.00011663,0.3999999999999999,0.5,0.0006812409616578,19.24618971347809,round_4
"{'denoising_steps': 27, 'guidance_scale': 8, 'positive_prompt': [130, 891, 177], 'negative_prompt': [6110, 184, 233], 'weight': 1, 'seed': 249}",0.74269231,0.0001159,0.3,1.2,0.0006778448478303,19.188466668128967,round_4
"{'denoising_steps': 26, 'guidance_scale': 6, 'positive_prompt': [283, 472, 94], 'negative_prompt': [10001, 10, 31], 'weight': 3, 'seed': 343}",0.73428571,0.00011202,0.3999999999999999,0.5,0.0006691108130656,18.30810058116913,round_4
"{'denoising_steps': 26, 'guidance_scale': 12, 'positive_prompt': [1130, 1785, 90], 'negative_prompt': [9408, 334, 63], 'weight': 1, 'seed': 414}",0.68375,0.00010893,0.7,0.9,0.0006609892787902,17.908756971359253,round_4
"{'denoising_steps': 42, 'guidance_scale': 14, 'positive_prompt': [2020, 2035, 55], 'negative_prompt': [6832, 599, 244], 'weight': 1, 'seed': 182}",0.8095,0.00017784,1.0,0.8,0.0010555272333094,29.830645322799683,round_3
"{'denoising_steps': 30, 'guidance_scale': 6, 'positive_prompt': [1742, 998, 4], 'negative_prompt': [8415, 290, 30], 'weight': 5, 'seed': 407}",0.78681818,0.00013004,0.3,0.7000000000000001,0.0007604988028448,21.421408891677856,round_3
"{'denoising_steps': 28, 'guidance_scale': 9, 'positive_prompt': [192, 955, 189], 'negative_prompt': [13249, 192, 8], 'weight': 4, 'seed': 287}",0.7362069,0.00011821,0.3999999999999999,0.9782608695652172,0.0007029702845984,19.81865441799164,round_3
"{'denoising_steps': 25, 'guidance_scale': 8, 'positive_prompt': [1332, 52, 54], 'negative_prompt': [13345, 705, 159], 'weight': 1, 'seed': 507}",0.6944,0.00010669,0.6000000000000001,1.1,0.0006280605024482,17.70707404613495,round_3
"{'denoising_steps': 31, 'guidance_scale': 5, 'positive_prompt': [1424, 1663, 92], 'negative_prompt': [4633, 53, 74], 'weight': 0, 'seed': 157}",0.7852381,0.00013535,0.1999999999999999,0.7999999999999999,0.0007874077132589,22.408202171325684,round_2
"{'denoising_steps': 27, 'guidance_scale': 7, 'positive_prompt': [1317, 881, 143], 'negative_prompt': [15614, 881, 249], 'weight': 5, 'seed': 344}",0.74416667,0.0001181,0.5,0.7999999999999999,0.0006912387474339,19.546795129776,round_2
"{'denoising_steps': 26, 'guidance_scale': 7, 'positive_prompt': [298, 537, 40], 'negative_prompt': [9121, 9, 187], 'weight': 0, 'seed': 266}",0.74227273,0.00011142,1.0,0.7000000000000001,0.0006563188583883,18.52538466453552,round_2
"{'denoising_steps': 25, 'guidance_scale': 8, 'positive_prompt': [1832, 804, 115], 'negative_prompt': [8013, 650, 159], 'weight': 1, 'seed': 472}",0.688,0.00010945,0.3,1.0,0.0006376477323394,18.09160625934601,round_2
"{'denoising_steps': 25, 'guidance_scale': 9, 'positive_prompt': [459, 1462, 109], 'negative_prompt': [1295, 209, 113], 'weight': 1, 'seed': 152}",0.6368,0.00010816,0.6000000000000001,0.8,0.0006338456459648,17.957783579826355,round_2
"{'denoising_steps': 48, 'guidance_scale': 10, 'positive_prompt': [671, 1383, 105], 'negative_prompt': [1301, 988, 72], 'weight': 4, 'seed': 501}",0.76409091,0.00020345,0.8999999999999999,0.8,0.0012028912400916,33.833595871925354,round_5
"{'denoising_steps': 49, 'guidance_scale': 12, 'positive_prompt': [264, 912, 60], 'negative_prompt': [2902, 131, 22], 'weight': 1, 'seed': 306}",0.7588,0.00020222,1.0,0.8,0.0012070779101067,33.63410007953644,round_5
"{'denoising_steps': 37, 'guidance_scale': 7, 'positive_prompt': [1684, 2018, 200], 'negative_prompt': [3913, 36, 191], 'weight': 5, 'seed': 319}",0.74409091,0.00016036,0.8,0.6000000000000001,0.0009425153373454,26.67462456226349,round_5
"{'denoising_steps': 30, 'guidance_scale': 6, 'positive_prompt': [1293, 713, 95], 'negative_prompt': [15359, 263, 109], 'weight': 2, 'seed': 438}",0.70925926,0.0001306,0.3999999999999999,0.8,0.0007700278382429,21.63651502132416,round_5
"{'denoising_steps': 31, 'guidance_scale': 14, 'positive_prompt': [1975, 1048, 25], 'negative_prompt': [4501, 158, 18], 'weight': 1, 'seed': 9}",0.67826087,0.00012837,0.3999999999999999,1.0,0.000760766441945,21.284043669700623,round_5
"{'denoising_steps': 25, 'guidance_scale': 6, 'positive_prompt': [1983, 1247, 237], 'negative_prompt': [3513, 273, 104], 'weight': 4, 'seed': 242}",0.66777778,0.00010558,0.3,0.8,0.0006261384175782,17.55288863182068,round_5
