Solution,Image Quality,GPU Energy,Gender Fitness,Ethnicity Fitness,CPU Energy,Duration,Round
"{'denoising_steps': 73, 'guidance_scale': 8.204887402688527, 'positive_prompt': [100, 612, 121], 'negative_prompt': [11193, 236, 240], 'weight': 1, 'seed': 288}",0.76043478,0.00190242,0.8999999999999999,1.0,0.0003154467308293,52.301682353019714,round_1
"{'denoising_steps': 19, 'guidance_scale': 8.549802193654878, 'positive_prompt': [1203, 884, 216], 'negative_prompt': [7938, 714, 89], 'weight': 2, 'seed': 323}",0.73423077,0.00048244,0.5,0.7,8.291301119146832e-05,13.551568031311035,round_1
"{'denoising_steps': 12, 'guidance_scale': 8.549802193654878, 'positive_prompt': [426, 1543, 172], 'negative_prompt': [6047, 1020, 177], 'weight': 0, 'seed': 280}",0.68181818,0.00030863,0.7,0.7000000000000001,5.273421427067068e-05,8.697979211807251,round_1
"{'denoising_steps': 6, 'guidance_scale': 8.763803923652949, 'positive_prompt': [835, 1442, 107], 'negative_prompt': [9623, 409, 227], 'weight': 0, 'seed': 306}",0.60904762,0.00015727,0.3,1.0,2.6637060059637313e-05,4.447556018829346,round_1
"{'denoising_steps': 4, 'guidance_scale': 2.9655179569020307, 'positive_prompt': [121, 296, 20], 'negative_prompt': [12533, 747, 84], 'weight': 5, 'seed': 155}",0.34333333,0.00010647,0.5,1.0,1.8583977089391135e-05,3.044484853744507,round_1
"{'denoising_steps': 71, 'guidance_scale': 3.9277090449529917, 'positive_prompt': [1001, 1770, 42], 'negative_prompt': [14994, 567, 170], 'weight': 1, 'seed': 347}",0.77363636,0.00180476,0.1999999999999999,0.6000000000000001,0.0003076632532137,50.96735596656799,round_4
"{'denoising_steps': 62, 'guidance_scale': 0.4806107156060291, 'positive_prompt': [1678, 1121, 134], 'negative_prompt': [890, 349, 74], 'weight': 5, 'seed': 73}",0.75818182,0.0013341,0.0,0.8,0.000260541465794,43.101426005363464,round_4
"{'denoising_steps': 21, 'guidance_scale': 8.0405370581366, 'positive_prompt': [1428, 1967, 31], 'negative_prompt': [15012, 341, 193], 'weight': 3, 'seed': 21}",0.73608696,0.00053243,0.6000000000000001,1.0,9.060323234363898e-05,14.983994007110596,round_4
"{'denoising_steps': 17, 'guidance_scale': 13.373138457879165, 'positive_prompt': [883, 306, 13], 'negative_prompt': [13514, 997, 119], 'weight': 1, 'seed': 490}",0.71428571,0.00043292,0.8,0.9,7.412963527587621e-05,12.196004867553713,round_4
"{'denoising_steps': 13, 'guidance_scale': 5.484938234356864, 'positive_prompt': [1208, 293, 90], 'negative_prompt': [4197, 519, 143], 'weight': 4, 'seed': 238}",0.66590909,0.0003356,0.1999999999999999,0.7,5.722658036455986e-05,9.519202828407288,round_4
"{'denoising_steps': 12, 'guidance_scale': 2.889708615438087, 'positive_prompt': [701, 89, 61], 'negative_prompt': [16166, 463, 30], 'weight': 3, 'seed': 419}",0.57285714,0.00030274,0.8,0.8260869565217391,5.151776051973839e-05,8.54750669002533,round_4
"{'denoising_steps': 8, 'guidance_scale': 6.036829946282993, 'positive_prompt': [325, 579, 113], 'negative_prompt': [1223, 1022, 119], 'weight': 5, 'seed': 93}",0.56909091,0.00020437,0.1,0.8999999999999999,3.5143481031431334e-05,5.805624604225159,round_4
"{'denoising_steps': 5, 'guidance_scale': 16.22212238129909, 'positive_prompt': [1874, 1791, 178], 'negative_prompt': [12492, 668, 183], 'weight': 3, 'seed': 85}",0.54,0.00013193,0.1,1.1,2.2767336269409813e-05,3.740701913833618,round_4
"{'denoising_steps': 4, 'guidance_scale': 18.414648565930165, 'positive_prompt': [838, 1157, 216], 'negative_prompt': [13634, 931, 7], 'weight': 4, 'seed': 194}",0.29666667,0.00010528,0.0,1.0,1.8281870736588934e-05,3.0341007709503174,round_4
"{'denoising_steps': 38, 'guidance_scale': 4.670709930494645, 'positive_prompt': [12, 975, 202], 'negative_prompt': [2378, 701, 64], 'weight': 1, 'seed': 96}",0.80708333,0.00095783,0.8,1.1,0.0001635995401849,26.844281911849976,round_3
"{'denoising_steps': 13, 'guidance_scale': 13.405117781325217, 'positive_prompt': [1666, 154, 133], 'negative_prompt': [7758, 960, 215], 'weight': 4, 'seed': 244}",0.71157895,0.00033614,0.3,0.6,5.697040279850781e-05,9.484560370445251,round_3
"{'denoising_steps': 8, 'guidance_scale': 12.952917663055235, 'positive_prompt': [247, 978, 5], 'negative_prompt': [15418, 836, 11], 'weight': 1, 'seed': 503}",0.620625,0.00020535,0.1999999999999999,0.7,3.5372252186673114e-05,5.8286168575286865,round_3
"{'denoising_steps': 4, 'guidance_scale': 2.495703180317399, 'positive_prompt': [1812, 1783, 165], 'negative_prompt': [8034, 844, 34], 'weight': 1, 'seed': 13}",0.43666667,0.00010902,0.1,1.0,1.858039972542011e-05,3.0710121393203735,round_3
"{'denoising_steps': 43, 'guidance_scale': 11.558698237915808, 'positive_prompt': [50, 286, 186], 'negative_prompt': [15856, 713, 230], 'weight': 2, 'seed': 354}",0.82238095,0.00108608,1.0,1.4,0.0001805509229128,30.325428366661072,round_2
"{'denoising_steps': 38, 'guidance_scale': 14.87862743126863, 'positive_prompt': [946, 1874, 160], 'negative_prompt': [11867, 37, 217], 'weight': 2, 'seed': 51}",0.74238095,0.00098309,1.0,1.0,0.000165466483623,27.3946635723114,round_2
"{'denoising_steps': 35, 'guidance_scale': 9.690660493390675, 'positive_prompt': [2032, 1869, 127], 'negative_prompt': [7260, 333, 167], 'weight': 4, 'seed': 158}",0.7126087,0.00089763,0.5,1.1,0.0001502885842585,25.101846933364868,round_2
"{'denoising_steps': 31, 'guidance_scale': 7.109192515920462, 'positive_prompt': [321, 1388, 100], 'negative_prompt': [143, 206, 243], 'weight': 1, 'seed': 128}",0.67928571,0.00079423,0.5,1.0,0.0001333455938985,22.134129881858826,round_2
"{'denoising_steps': 26, 'guidance_scale': 8.06452237788853, 'positive_prompt': [1090, 352, 182], 'negative_prompt': [1183, 88, 25], 'weight': 3, 'seed': 37}",0.65820513,0.00065686,0.3,0.8260869565217392,0.0001108520761815,18.438865661621097,round_2
"{'denoising_steps': 25, 'guidance_scale': 6.5359993497611075, 'positive_prompt': [1928, 909, 98], 'negative_prompt': [8865, 78, 195], 'weight': 2, 'seed': 483}",0.65205882,0.00064254,0.3999999999999999,1.3,0.0001077175788128,17.9404399394989,round_2
"{'denoising_steps': 18, 'guidance_scale': 3.8278645030194403, 'positive_prompt': [274, 1931, 83], 'negative_prompt': [345, 989, 80], 'weight': 3, 'seed': 182}",0.62961538,0.00046432,0.1999999999999999,0.8,7.786727757155137e-05,12.949275016784668,round_2
"{'denoising_steps': 10, 'guidance_scale': 3.80214698392751, 'positive_prompt': [569, 1608, 132], 'negative_prompt': [12373, 727, 126], 'weight': 3, 'seed': 407}",0.56772727,0.0002613,0.3999999999999999,0.6,4.403028591864686e-05,7.338170051574707,round_2
"{'denoising_steps': 5, 'guidance_scale': 11.558698237915808, 'positive_prompt': [2047, 887, 163], 'negative_prompt': [6451, 976, 49], 'weight': 2, 'seed': 354}",0.5625,0.00013151,0.3,0.8999999999999999,2.226722184153068e-05,3.7166961431503296,round_2
"{'denoising_steps': 4, 'guidance_scale': 18.5593939775259, 'positive_prompt': [771, 221, 178], 'negative_prompt': [1684, 927, 80], 'weight': 3, 'seed': 390}",0.415,0.00010686,0.6000000000000001,0.5,1.836861663932635e-05,3.0397562980651855,round_2
"{'denoising_steps': 92, 'guidance_scale': 5.4696641295317905, 'positive_prompt': [1355, 1861, 120], 'negative_prompt': [11952, 398, 210], 'weight': 0}",0.781,0.0024042,0.3,0.6,0.0004043546639001,66.04002130031586,round_5
"{'denoising_steps': 16, 'guidance_scale': 5.744432367573912, 'positive_prompt': [1566, 930, 95], 'negative_prompt': [15253, 514, 129], 'weight': 2}",0.77473684,0.0004156,0.1,0.35,7.00694143888278e-05,11.536292672157288,round_5
"{'denoising_steps': 13, 'guidance_scale': 7.286134692787368, 'positive_prompt': [1510, 1499, 109], 'negative_prompt': [1397, 288, 121], 'weight': 4}",0.68416667,0.00033191,0.3999999999999999,0.6,5.659458791452445e-05,9.334248185157776,round_5
"{'denoising_steps': 6, 'guidance_scale': 16.378763939602138, 'positive_prompt': [1420, 136, 44], 'negative_prompt': [13060, 897, 235], 'weight': 2}",0.55,0.00016082,0.1,0.45,2.7185858415334357e-05,4.472089052200317,round_5
"{'denoising_steps': 5, 'guidance_scale': 10.996541069837784, 'positive_prompt': [739, 1555, 14], 'negative_prompt': [6094, 44, 197], 'weight': 1}",0.53888889,0.00013295,0.1,0.55,2.289738331789221e-05,3.76847505569458,round_5
